Range,Headshots,Ammo,Body_Dmg,HS_Dmg,Num_Body,STK,TTK_ms
30,5,HP,19.76923076923077,29.653846153846153,0,5,266.6666666666667
40,0,Base,19.153846153846153,25.666153846153847,6,6,333.33333333333337
40,0,HP,19.153846153846153,28.73076923076923,6,6,333.33333333333337
40,1,Base,19.153846153846153,25.666153846153847,4,5,266.6666666666667
40,1,HP,19.153846153846153,28.73076923076923,4,5,266.6666666666667
40,2,Base,19.153846153846153,25.666153846153847,3,5,266.6666666666667
40,2,HP,19.153846153846153,28.73076923076923,3,5,266.6666666666667
40,3,Base,19.153846153846153,25.666153846153847,2,5,266.6666666666667
40,3,HP,19.153846153846153,28.73076923076923,1,4,200.0
40,4,Base,19.153846153846153,25.666153846153847,0,4,200.0
40,4,HP,19.153846153846153,28.73076923076923,0,4,200.0
40,5,Base,19.153846153846153,25.666153846153847,0,5,266.6666666666667
40,5,HP,19.153846153846153,28.73076923076923,0,5,266.6666666666667
50,0,Base,18.53846153846154,24.841538461538466,6,6,333.33333333333337
50,0,HP,18.53846153846154,27.80769230769231,6,6,333.33333333333337
50,1,Base,18.53846153846154,24.841538461538466,5,6,333.33333333333337
50,1,HP,18.53846153846154,27.80769230769231,4,5,266.6666666666667
50,2,Base,18.53846153846154,24.841538461538466,3,5,266.6666666666667
50,2,HP,18.53846153846154,27.80769230769231,3,5,266.6666666666667
50,3,Base,18.53846153846154,24.841538461538466,2,5,266.6666666666667
50,3,HP,18.53846153846154,27.80769230769231,1,4,200.0
50,4,Base,18.53846153846154,24.841538461538466,1,5,266.6666666666667
50,4,HP,18.53846153846154,27.80769230769231,0,4,200.0
50,5,Base,18.53846153846154,24.841538461538466,0,5,266.6666666666667
50,5,HP,18.53846153846154,27.80769230769231,0,5,266.6666666666667
60,0,Base,17.923076923076923,24.016923076923078,6,6,333.33333333333337
60,0,HP,17.923076923076923,26.884615384615387,6,6,333.33333333333337
60,1,Base,17.923076923076923,24.016923076923078,5,6,333.33333333333337
60,1,HP,17.923076923076923,26.884615384615387,5,6,333.33333333333337
60,2,Base,17.923076923076923,24.016923076923078,3,5,266.6666666666667
60,2,HP,17.923076923076923,26.884615384615387,3,5,266.6666666666667
60,3,Base,17.923076923076923,24.016923076923078,2,5,266.6666666666667
60,3,HP,17.923076923076923,26.884615384615387,2,5,266.6666666666667
60,4,Base,17.923076923076923,24.016923076923078,1,5,266.6666666666667
60,4,HP,17.923076923076923,26.884615384615387,0,4,200.0
60,5,Base,17.923076923076923,24.016923076923078,0,5,266.6666666666667
60,5,HP,17.923076923076923,26.884615384615387,0,5,266.6666666666667
75,0,Base,17.0,22.78,6,6,333.33333333333337
75,0,HP,17.0,25.5,6,6,333.33333333333337
75,1,Base,17.0,22.78,5,6,333.33333333333337
75,1,HP,17.0,25.5,5,6,333.33333333333337
75,2,Base,17.0,22.78,4,6,333.33333333333337
75,2,HP,17.0,25.5,3,5,266.6666666666667
75,3,Base,17.0,22.78,2,5,266.6666666666667
75,3,HP,17.0,25.5,2,5,266.6666666666667
75,4,Base,17.0,22.78,1,5,266.6666666666667
75,4,HP,17.0,25.5,0,4,200.0
75,5,Base,17.0,22.78,0,5,266.6666666666667
75,5,HP,17.0,25.5,0,5,266.6666666666667
100,0,Base,15.461538461538462,20.71846153846154,7,7,400.0
100,0,HP,15.461538461538462,23.192307692307693,7,7,400.0
100,1,Base,15.461538461538462,20.71846153846154,6,7,400.0
100,1,HP,15.461538461538462,23.192307692307693,5,6,333.33333333333337
100,2,Base,15.461538461538462,20.71846153846154,4,6,333.33333333333337
100,2,HP,15.461538461538462,23.192307692307693,4,6,333.33333333333337
100,3,Base,15.461538461538462,20.71846153846154,3,6,333.33333333333337
100,3,HP,15.461538461538462,23.192307692307693,2,5,266.6666666666667
100,4,Base,15.461538461538462,20.71846153846154,2,6,333.33333333333337
100,4,HP,15.461538461538462,23.192307692307693,1,5,266.6666666666667
100,5,Base,15.461538461538462,20.71846153846154,0,5,266.6666666666667
100,5,HP,15.461538461538462,23.192307692307693,0,5,266.6666666666667
